DiffusionLM: 6L dim=384 heads=6 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 300.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 9,635,200
step 00000 (0.0%) | loss: 7.0400 | gnorm: 4.8660 | dt: 114ms | tok/s: 35,969 | remaining: 300s
step 00020 (0.6%) | loss: 6.5956 | gnorm: 2.4385 | dt: 128ms | tok/s: 32,102 | remaining: 298s
step 00040 (1.4%) | loss: 6.2705 | gnorm: 1.2432 | dt: 131ms | tok/s: 31,306 | remaining: 296s
step 00060 (2.3%) | loss: 6.0344 | gnorm: 0.9084 | dt: 141ms | tok/s: 29,128 | remaining: 293s
step 00080 (3.3%) | loss: 5.9435 | gnorm: 0.8626 | dt: 144ms | tok/s: 28,489 | remaining: 290s
step 00100 (4.2%) | loss: 5.8519 | gnorm: 0.9701 | dt: 143ms | tok/s: 28,578 | remaining: 287s
step 00120 (5.2%) | loss: 5.8085 | gnorm: 1.1586 | dt: 135ms | tok/s: 30,326 | remaining: 284s
step 00140 (6.1%) | loss: 5.7270 | gnorm: 0.9922 | dt: 145ms | tok/s: 28,339 | remaining: 281s
step 00160 (7.1%) | loss: 5.5973 | gnorm: 0.7226 | dt: 146ms | tok/s: 28,008 | remaining: 279s
step 00180 (8.1%) | loss: 5.4815 | gnorm: 0.9159 | dt: 150ms | tok/s: 27,393 | remaining: 276s
step 00200 (9.0%) | loss: 5.3155 | gnorm: 1.2192 | dt: 149ms | tok/s: 27,439 | remaining: 273s
step 00220 (10.0%) | loss: 5.2422 | gnorm: 1.0541 | dt: 135ms | tok/s: 30,361 | remaining: 270s
step 00240 (10.9%) | loss: 5.1446 | gnorm: 0.8142 | dt: 143ms | tok/s: 28,721 | remaining: 267s
step 00260 (11.9%) | loss: 5.0362 | gnorm: 0.8619 | dt: 140ms | tok/s: 29,310 | remaining: 264s
step 00280 (12.8%) | loss: 4.9516 | gnorm: 1.0341 | dt: 135ms | tok/s: 30,317 | remaining: 261s
step 00300 (13.7%) | loss: 4.8913 | gnorm: 0.7987 | dt: 137ms | tok/s: 29,919 | remaining: 259s
step 00320 (14.6%) | loss: 4.8132 | gnorm: 1.1995 | dt: 128ms | tok/s: 31,984 | remaining: 256s
step 00340 (15.5%) | loss: 4.8062 | gnorm: 1.0762 | dt: 128ms | tok/s: 32,074 | remaining: 253s
step 00360 (16.4%) | loss: 4.7357 | gnorm: 0.8193 | dt: 132ms | tok/s: 31,147 | remaining: 251s
step 00380 (17.2%) | loss: 4.7056 | gnorm: 0.8522 | dt: 129ms | tok/s: 31,709 | remaining: 248s
step 00400 (18.1%) | loss: 4.7040 | gnorm: 0.6713 | dt: 127ms | tok/s: 32,133 | remaining: 246s
step 00420 (18.9%) | loss: 4.6595 | gnorm: 0.8998 | dt: 123ms | tok/s: 33,172 | remaining: 243s
step 00440 (19.8%) | loss: 4.6733 | gnorm: 0.8975 | dt: 125ms | tok/s: 32,842 | remaining: 241s
step 00460 (20.6%) | loss: 4.6707 | gnorm: 0.8280 | dt: 120ms | tok/s: 34,003 | remaining: 238s
step 00480 (21.4%) | loss: 4.6314 | gnorm: 0.8060 | dt: 121ms | tok/s: 33,859 | remaining: 236s
