DiffusionLM: 6L dim=384 heads=6 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 1200.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 9,635,968
step 00920 (7.5%) | loss: 16.8470 | gnorm: 2.7474 | dt: 103ms | tok/s: 39,901 | remaining: 1109s
step 00940 (7.7%) | loss: 20.3846 | gnorm: 1.8724 | dt: 101ms | tok/s: 40,460 | remaining: 1107s
step 00960 (7.9%) | loss: 36.7593 | gnorm: 6.8117 | dt: 105ms | tok/s: 38,856 | remaining: 1105s
step 00980 (8.1%) | loss: 23.7460 | gnorm: 1.7276 | dt: 102ms | tok/s: 40,025 | remaining: 1103s
step 01000 (8.2%) | loss: 21.9413 | gnorm: 20.8928 | dt: 100ms | tok/s: 40,900 | remaining: 1101s
step 01020 (8.4%) | loss: 22.7534 | gnorm: 45.1209 | dt: 98ms | tok/s: 41,631 | remaining: 1099s
step 01040 (8.6%) | loss: 25.5000 | gnorm: 6.3528 | dt: 99ms | tok/s: 41,448 | remaining: 1097s
step 01060 (8.7%) | loss: 36.2553 | gnorm: 14.8023 | dt: 99ms | tok/s: 41,403 | remaining: 1095s
step 01080 (8.9%) | loss: 23.8922 | gnorm: 14.6598 | dt: 99ms | tok/s: 41,264 | remaining: 1093s
step 01100 (9.1%) | loss: 20.2545 | gnorm: 3.6396 | dt: 99ms | tok/s: 41,265 | remaining: 1091s
step 01120 (9.2%) | loss: 25.5685 | gnorm: 4.3278 | dt: 99ms | tok/s: 41,170 | remaining: 1089s
step 01140 (9.4%) | loss: 21.4903 | gnorm: 3.1575 | dt: 99ms | tok/s: 41,390 | remaining: 1087s
step 01160 (9.5%) | loss: 22.6493 | gnorm: 1.5960 | dt: 99ms | tok/s: 41,462 | remaining: 1085s
step 01180 (9.7%) | loss: 24.8070 | gnorm: 23.8447 | dt: 99ms | tok/s: 41,520 | remaining: 1083s
step 01200 (9.9%) | loss: 25.4383 | gnorm: 20.3381 | dt: 99ms | tok/s: 41,538 | remaining: 1081s
step 01220 (10.0%) | loss: 23.3652 | gnorm: 7.1358 | dt: 99ms | tok/s: 41,551 | remaining: 1079s
step 01240 (10.2%) | loss: 18.3640 | gnorm: 3.0735 | dt: 99ms | tok/s: 41,544 | remaining: 1077s
step 01260 (10.4%) | loss: 18.0989 | gnorm: 8.3776 | dt: 99ms | tok/s: 41,355 | remaining: 1075s
step 01280 (10.5%) | loss: 18.5125 | gnorm: 1.1605 | dt: 99ms | tok/s: 41,363 | remaining: 1073s
step 01300 (10.7%) | loss: 22.4516 | gnorm: 1.8799 | dt: 99ms | tok/s: 41,351 | remaining: 1071s
step 01320 (10.9%) | loss: 15.2319 | gnorm: 1.5946 | dt: 99ms | tok/s: 41,418 | remaining: 1070s
step 01340 (11.0%) | loss: 19.2414 | gnorm: 2.8839 | dt: 99ms | tok/s: 41,462 | remaining: 1068s
step 01360 (11.2%) | loss: 15.4603 | gnorm: 3.3558 | dt: 99ms | tok/s: 41,557 | remaining: 1066s
step 01380 (11.4%) | loss: 17.0894 | gnorm: 18.4165 | dt: 99ms | tok/s: 41,287 | remaining: 1064s
step 01400 (11.5%) | loss: 21.4645 | gnorm: 1.8704 | dt: 99ms | tok/s: 41,578 | remaining: 1062s
step 01420 (11.7%) | loss: 24.8806 | gnorm: 8.9467 | dt: 99ms | tok/s: 41,500 | remaining: 1060s
step 01440 (11.9%) | loss: 17.7694 | gnorm: 5.5060 | dt: 99ms | tok/s: 41,345 | remaining: 1058s
step 01460 (12.0%) | loss: 23.7442 | gnorm: 2.1025 | dt: 98ms | tok/s: 41,784 | remaining: 1056s
step 01480 (12.2%) | loss: 23.0140 | gnorm: 6.6756 | dt: 99ms | tok/s: 41,528 | remaining: 1054s
step 01500 (12.3%) | loss: 19.6542 | gnorm: 13.8185 | dt: 99ms | tok/s: 41,525 | remaining: 1052s
step 01520 (12.5%) | loss: 23.6026 | gnorm: 3.9556 | dt: 99ms | tok/s: 41,486 | remaining: 1050s
step 01540 (12.7%) | loss: 19.0151 | gnorm: 20.8602 | dt: 99ms | tok/s: 41,546 | remaining: 1048s
step 01560 (12.8%) | loss: 26.3905 | gnorm: 3.7553 | dt: 99ms | tok/s: 41,556 | remaining: 1046s
step 01580 (13.0%) | loss: 22.2749 | gnorm: 4.3759 | dt: 99ms | tok/s: 41,480 | remaining: 1044s
step 01600 (13.2%) | loss: 25.5118 | gnorm: 0.9770 | dt: 94ms | tok/s: 43,699 | remaining: 1042s
step 01620 (13.3%) | loss: 24.7274 | gnorm: 2.2766 | dt: 99ms | tok/s: 41,558 | remaining: 1040s
step 01640 (13.5%) | loss: 19.9964 | gnorm: 1.3707 | dt: 99ms | tok/s: 41,400 | remaining: 1038s
step 01660 (13.7%) | loss: 17.7008 | gnorm: 5.2853 | dt: 99ms | tok/s: 41,338 | remaining: 1036s
