DiffusionLM: 6L dim=768 heads=12 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 43200.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 36,965,632
step 00920 (0.6%) | loss: 21.7803 | gnorm: 3.3238 | dt: 335ms | tok/s: 12,219 | remaining: 42946s
step 00940 (0.6%) | loss: 23.8584 | gnorm: 7.6668 | dt: 354ms | tok/s: 11,584 | remaining: 42939s
step 00960 (0.6%) | loss: 22.4937 | gnorm: 3.2847 | dt: 356ms | tok/s: 11,507 | remaining: 42932s
step 00980 (0.6%) | loss: 24.4366 | gnorm: 7.5289 | dt: 359ms | tok/s: 11,416 | remaining: 42925s
step 01000 (0.7%) | loss: 20.8246 | gnorm: 3.3702 | dt: 368ms | tok/s: 11,137 | remaining: 42918s
step 01020 (0.7%) | loss: 24.0993 | gnorm: 8.6244 | dt: 367ms | tok/s: 11,153 | remaining: 42911s
step 01040 (0.7%) | loss: 21.2232 | gnorm: 5.3309 | dt: 384ms | tok/s: 10,658 | remaining: 42903s
step 01060 (0.7%) | loss: 24.1485 | gnorm: 8.4580 | dt: 364ms | tok/s: 11,258 | remaining: 42896s
step 01080 (0.7%) | loss: 20.8936 | gnorm: 3.6116 | dt: 357ms | tok/s: 11,459 | remaining: 42888s
step 01100 (0.7%) | loss: 24.8641 | gnorm: 9.2699 | dt: 361ms | tok/s: 11,346 | remaining: 42881s
step 01120 (0.8%) | loss: 21.3392 | gnorm: 2.8822 | dt: 343ms | tok/s: 11,957 | remaining: 42874s
step 01140 (0.8%) | loss: 23.5957 | gnorm: 7.4752 | dt: 333ms | tok/s: 12,304 | remaining: 42868s
step 01160 (0.8%) | loss: 21.5066 | gnorm: 3.7195 | dt: 321ms | tok/s: 12,748 | remaining: 42861s
step 01180 (0.8%) | loss: 24.1764 | gnorm: 9.2153 | dt: 314ms | tok/s: 13,033 | remaining: 42855s
step 01200 (0.8%) | loss: 21.0570 | gnorm: 3.7045 | dt: 312ms | tok/s: 13,137 | remaining: 42848s
step 01220 (0.8%) | loss: 23.1599 | gnorm: 8.0091 | dt: 299ms | tok/s: 13,720 | remaining: 42842s
step 01240 (0.8%) | loss: 20.8255 | gnorm: 2.9650 | dt: 310ms | tok/s: 13,225 | remaining: 42836s
step 01260 (0.9%) | loss: 24.1866 | gnorm: 12.6543 | dt: 302ms | tok/s: 13,584 | remaining: 42830s
step 01280 (0.9%) | loss: 21.5096 | gnorm: 2.9058 | dt: 298ms | tok/s: 13,744 | remaining: 42824s
step 01300 (0.9%) | loss: 24.0480 | gnorm: 6.5090 | dt: 296ms | tok/s: 13,833 | remaining: 42818s
step 01320 (0.9%) | loss: 19.2665 | gnorm: 4.0465 | dt: 294ms | tok/s: 13,954 | remaining: 42812s
step 01340 (0.9%) | loss: 22.7937 | gnorm: 7.6083 | dt: 288ms | tok/s: 14,205 | remaining: 42806s
step 01360 (0.9%) | loss: 19.5793 | gnorm: 3.7934 | dt: 290ms | tok/s: 14,118 | remaining: 42800s
step 01380 (0.9%) | loss: 21.8481 | gnorm: 8.2592 | dt: 288ms | tok/s: 14,244 | remaining: 42795s
step 01400 (1.0%) | loss: 19.8748 | gnorm: 4.8892 | dt: 289ms | tok/s: 14,192 | remaining: 42789s
step 01420 (1.0%) | loss: 22.4491 | gnorm: 8.7479 | dt: 286ms | tok/s: 14,336 | remaining: 42783s
step 01440 (1.0%) | loss: 19.0649 | gnorm: 3.7268 | dt: 283ms | tok/s: 14,449 | remaining: 42777s
step 01460 (1.0%) | loss: 23.3141 | gnorm: 6.9287 | dt: 292ms | tok/s: 14,004 | remaining: 42772s
step 01480 (1.0%) | loss: 23.3235 | gnorm: 3.3632 | dt: 326ms | tok/s: 12,567 | remaining: 42765s
step 01500 (1.0%) | loss: 23.3164 | gnorm: 8.4971 | dt: 302ms | tok/s: 13,566 | remaining: 42759s
step 01520 (1.0%) | loss: 19.9349 | gnorm: 2.9074 | dt: 325ms | tok/s: 12,589 | remaining: 42752s
step 01540 (1.0%) | loss: 22.0406 | gnorm: 9.1751 | dt: 301ms | tok/s: 13,630 | remaining: 42746s
step 01560 (1.1%) | loss: 20.5540 | gnorm: 4.0268 | dt: 299ms | tok/s: 13,694 | remaining: 42740s
step 01580 (1.1%) | loss: 23.9915 | gnorm: 8.2600 | dt: 276ms | tok/s: 14,829 | remaining: 42734s
step 01600 (1.1%) | loss: 20.2658 | gnorm: 2.8804 | dt: 274ms | tok/s: 14,925 | remaining: 42729s
step 01620 (1.1%) | loss: 22.8073 | gnorm: 7.6969 | dt: 272ms | tok/s: 15,049 | remaining: 42723s
step 01640 (1.1%) | loss: 19.8974 | gnorm: 2.8005 | dt: 275ms | tok/s: 14,919 | remaining: 42718s
step 01660 (1.1%) | loss: 23.0184 | gnorm: 8.3504 | dt: 276ms | tok/s: 14,855 | remaining: 42712s
step 01680 (1.1%) | loss: 20.0424 | gnorm: 3.1832 | dt: 270ms | tok/s: 15,185 | remaining: 42707s
step 01700 (1.2%) | loss: 21.9683 | gnorm: 8.8113 | dt: 270ms | tok/s: 15,142 | remaining: 42701s
step 01720 (1.2%) | loss: 23.1321 | gnorm: 4.0836 | dt: 268ms | tok/s: 15,307 | remaining: 42696s
step 01740 (1.2%) | loss: 22.1979 | gnorm: 8.1075 | dt: 271ms | tok/s: 15,107 | remaining: 42690s
step 01760 (1.2%) | loss: 18.8541 | gnorm: 3.8828 | dt: 269ms | tok/s: 15,240 | remaining: 42685s
step 01780 (1.2%) | loss: 22.1353 | gnorm: 9.3116 | dt: 263ms | tok/s: 15,562 | remaining: 42680s
step 01800 (1.2%) | loss: 19.5070 | gnorm: 3.9313 | dt: 267ms | tok/s: 15,342 | remaining: 42674s
step 01820 (1.2%) | loss: 21.6658 | gnorm: 8.6477 | dt: 268ms | tok/s: 15,310 | remaining: 42669s
step 01840 (1.2%) | loss: 19.7149 | gnorm: 2.7374 | dt: 262ms | tok/s: 15,641 | remaining: 42664s
step 01860 (1.3%) | loss: 23.2285 | gnorm: 10.2928 | dt: 265ms | tok/s: 15,478 | remaining: 42658s
step 01880 (1.3%) | loss: 19.0482 | gnorm: 3.4272 | dt: 265ms | tok/s: 15,475 | remaining: 42653s
step 01900 (1.3%) | loss: 22.1040 | gnorm: 7.4761 | dt: 266ms | tok/s: 15,382 | remaining: 42648s
step 01920 (1.3%) | loss: 18.6382 | gnorm: 3.3859 | dt: 265ms | tok/s: 15,477 | remaining: 42642s
step 01940 (1.3%) | loss: 21.9325 | gnorm: 8.7329 | dt: 265ms | tok/s: 15,473 | remaining: 42637s
step 01960 (1.3%) | loss: 19.0536 | gnorm: 3.3625 | dt: 277ms | tok/s: 14,765 | remaining: 42632s
step 01980 (1.3%) | loss: 20.6504 | gnorm: 8.9640 | dt: 264ms | tok/s: 15,513 | remaining: 42626s
step 02000 (1.3%) | loss: 20.1986 | gnorm: 2.9561 | dt: 264ms | tok/s: 15,533 | remaining: 42621s
step 02020 (1.4%) | loss: 20.9070 | gnorm: 6.5732 | dt: 263ms | tok/s: 15,563 | remaining: 42616s
step 02040 (1.4%) | loss: 19.0968 | gnorm: 3.5771 | dt: 264ms | tok/s: 15,512 | remaining: 42610s
step 02060 (1.4%) | loss: 19.6748 | gnorm: 8.2884 | dt: 266ms | tok/s: 15,410 | remaining: 42605s
step 02080 (1.4%) | loss: 18.6954 | gnorm: 2.9977 | dt: 256ms | tok/s: 16,006 | remaining: 42600s
step 02100 (1.4%) | loss: 20.1469 | gnorm: 8.1918 | dt: 265ms | tok/s: 15,480 | remaining: 42595s
step 02120 (1.4%) | loss: 18.9325 | gnorm: 2.8798 | dt: 264ms | tok/s: 15,487 | remaining: 42589s
