DiffusionLM: 6L dim=384 heads=6 mlp=3x seq=512 batch=8
Schedule: cosine | ELBO steps: 64 | Muon LR: 0.02
Time budget: 300.0s
  t=0.00: mask_prob=0.0000 sigma_bar=0.0000 dalpha_dt=0.0437
  t=0.25: mask_prob=0.1530 sigma_bar=0.1660 dalpha_dt=1.1225
  t=0.50: mask_prob=0.5062 sigma_bar=0.7055 dalpha_dt=1.5585
  t=0.75: mask_prob=0.8557 sigma_bar=1.9361 dalpha_dt=1.0952
  t=1.00: mask_prob=1.0000 sigma_bar=12.9281 dalpha_dt=0.0049
Parameters: 9,635,200
step 00940 (33.8%) | loss: 4.4330 | gnorm: 0.7382 | dt: 96ms | tok/s: 42,551 | remaining: 198s
step 00960 (34.5%) | loss: 4.5617 | gnorm: 0.6692 | dt: 115ms | tok/s: 35,720 | remaining: 196s
step 00980 (35.3%) | loss: 4.4907 | gnorm: 0.7204 | dt: 103ms | tok/s: 39,648 | remaining: 194s
step 01000 (36.0%) | loss: 4.4408 | gnorm: 0.7905 | dt: 103ms | tok/s: 39,783 | remaining: 192s
step 01020 (36.7%) | loss: 4.4908 | gnorm: 0.8604 | dt: 97ms | tok/s: 42,227 | remaining: 190s
step 01040 (37.4%) | loss: 4.4822 | gnorm: 1.0747 | dt: 115ms | tok/s: 35,588 | remaining: 188s
step 01060 (38.2%) | loss: 4.4711 | gnorm: 0.7584 | dt: 105ms | tok/s: 39,078 | remaining: 185s
step 01080 (39.0%) | loss: 4.3885 | gnorm: 0.8161 | dt: 96ms | tok/s: 42,542 | remaining: 183s
step 01100 (39.7%) | loss: 4.4576 | gnorm: 0.9773 | dt: 117ms | tok/s: 35,110 | remaining: 181s
step 01120 (40.4%) | loss: 4.4597 | gnorm: 1.0277 | dt: 96ms | tok/s: 42,755 | remaining: 179s
step 01140 (41.1%) | loss: 4.4486 | gnorm: 0.6694 | dt: 117ms | tok/s: 34,933 | remaining: 177s
step 01160 (41.8%) | loss: 4.4446 | gnorm: 0.9887 | dt: 112ms | tok/s: 36,659 | remaining: 174s
step 01180 (42.6%) | loss: 4.4420 | gnorm: 0.9705 | dt: 102ms | tok/s: 40,206 | remaining: 172s
step 01200 (43.3%) | loss: 4.4452 | gnorm: 0.7783 | dt: 121ms | tok/s: 33,926 | remaining: 170s
step 01220 (44.1%) | loss: 4.4054 | gnorm: 0.8613 | dt: 113ms | tok/s: 36,332 | remaining: 168s
step 01240 (44.8%) | loss: 4.4719 | gnorm: 0.7690 | dt: 116ms | tok/s: 35,437 | remaining: 165s
step 01260 (45.5%) | loss: 4.5342 | gnorm: 1.2936 | dt: 110ms | tok/s: 37,159 | remaining: 163s
step 01280 (46.2%) | loss: 4.4155 | gnorm: 0.8112 | dt: 115ms | tok/s: 35,771 | remaining: 161s
step 01300 (46.9%) | loss: 4.4316 | gnorm: 0.7710 | dt: 98ms | tok/s: 41,683 | remaining: 159s
step 01320 (47.7%) | loss: 4.2883 | gnorm: 0.9188 | dt: 116ms | tok/s: 35,292 | remaining: 157s
step 01340 (48.4%) | loss: 4.3288 | gnorm: 0.8760 | dt: 121ms | tok/s: 33,836 | remaining: 155s
step 01360 (49.1%) | loss: 4.3189 | gnorm: 0.8560 | dt: 99ms | tok/s: 41,173 | remaining: 153s
step 01380 (49.9%) | loss: 4.3749 | gnorm: 0.7324 | dt: 125ms | tok/s: 32,659 | remaining: 150s
step 01400 (50.6%) | loss: 4.3420 | gnorm: 1.4383 | dt: 115ms | tok/s: 35,746 | remaining: 148s
step 01420 (51.4%) | loss: 4.3850 | gnorm: 0.7751 | dt: 125ms | tok/s: 32,851 | remaining: 146s
step 01440 (52.1%) | loss: 4.2654 | gnorm: 0.8944 | dt: 97ms | tok/s: 42,350 | remaining: 144s
step 01460 (52.8%) | loss: 4.4206 | gnorm: 0.7505 | dt: 114ms | tok/s: 35,923 | remaining: 141s
step 01480 (53.5%) | loss: 4.5590 | gnorm: 0.6693 | dt: 106ms | tok/s: 38,734 | remaining: 139s
step 01500 (54.2%) | loss: 4.4300 | gnorm: 0.9076 | dt: 117ms | tok/s: 35,054 | remaining: 137s
